days_to_event,mean_return,std_return,sharpe_ratio,median_sharpe,event_count,valid_returns,smooth_sharpe
-30,-0.0004098593743082202,0.021817855273703265,-0.04112417720156572,0.0,216832,759833,-0.054278322733172256
-29,-0.0004587553528330997,0.021759528642524284,-0.05344091271628018,0.0,208276,657289,-0.04991290409417081
-28,-0.0005315715811800255,0.02181308452784775,-0.06826987828167087,0.0,206504,638656,-0.04052331242518929
-27,-0.000413749858041903,0.021999784574578057,-0.03681664817716647,0.0043462032635630705,216261,746775,-0.026172058107475065
-26,-0.00029866926410754047,0.02213456606486323,-0.002964945749263239,0.027215328679525582,226197,875645,-0.012734596079740068
-25,-0.00017726445417659559,0.022115555602749547,0.030632094387005444,0.05925266233910944,232905,912056,0.0037381597313244754
-24,-0.0002125855193636161,0.021927336090368982,0.013746397422394786,0.04139037987923988,227368,858843,0.010928665720656055
-23,-0.00023111718361755985,0.021825435719098483,0.014093900773651859,0.04284685161668874,215849,758078,0.009888592236223017
-22,-0.0003200195413137569,0.02174876016220986,-0.0008641182305085777,0.0339650701911202,207324,654815,0.0028919777392015116
-21,-0.00037005156945041465,0.021746759393433488,-0.008165313171428426,0.03751829967611513,207047,639370,0.0019783880470225076
-20,-0.00034824908171537765,0.02197272742200248,-0.00435097809810208,0.025843698964267317,217507,749942,0.0034314601112147352
-19,-0.00028790309641056676,0.022138325164619936,0.009178448961499766,0.0405260469507163,228049,882416,0.0051537441531667215
-18,-0.00025622011893047754,0.022129968877006616,0.021359261094613,0.049578675830624225,234759,920291,0.004319303365538943
-17,-0.000277519906656255,0.021927188147689333,0.007747301979251352,0.036687950333387065,230510,871455,0.003898300585635833
-16,-0.000321867423859015,0.02174884118291486,-0.01233751710956732,0.02327884263644045,221300,777094,-0.0017046496694781289
-15,-0.0003133456001207674,0.02160966167376106,-0.006455991997617629,0.0284127601990425,215290,680242,-0.005986297906379957
-14,-0.0003541384312445303,0.021605855812389635,-0.018836302314070043,0.017224935826329,215961,667419,-0.004505001772902716
-13,-0.0003054929558150817,0.02184387751477455,-0.000048980089896140515,0.03777209267517512,223998,774216,0.004748762292561677
-12,-0.00027228144831939905,0.02207761797105516,0.015153782646637557,0.0505078104326904,231802,902084,0.01139189875616268
-11,-0.0002009579984432901,0.02206621941915032,0.033931303217754644,0.05809630362704092,236396,934492,0.019872644661094674
-10,-0.0002109818688130301,0.021910868636133396,0.02675969032038739,0.06216063255554496,233387,886297,0.02123245001273562
-9,-0.0001811206671854734,0.021728106380880366,0.02356742721058993,0.05558523688827593,224875,790928,0.024851024351955926
-8,-0.00020236582631135295,0.02158602577586814,0.006750046668308587,0.044915785721640414,219074,692492,0.023504576720598545
-7,-0.00011269623128635853,0.02165772154491878,0.03324665434273908,0.06000435369941521,218713,676068,0.026585155646856783
-6,-0.0001156428460343295,0.021992108458179095,0.027199065060967753,0.05005301616093029,225481,780249,0.030441121236026027
-5,-0.00007727442212020131,0.022272902688156095,0.042162584951678586,0.0704456109218149,232632,907498,0.03453047478982304
-4,-0.00010180753872913908,0.0222953037571828,0.042847255156436136,0.0664554732107978,237246,940817,0.03666227941096511
-3,-0.00014170468681317904,0.022170640426393145,0.027196814437293645,0.05270165319804804,235839,896607,0.04376510333893628
-2,-0.00007880551234007114,0.02202235900360654,0.04390567744844943,0.06995342488955777,228956,805130,0.055772067767841736
-1,2.058087314008506e-6,0.021940672200395063,0.0627131847008236,0.08789015676275888,224271,708738,0.07754633827737778
0,0.00015777430164395275,0.022174830371570534,0.10219740709620588,0.13070397008188456,223871,691984,0.08503454027841
1,0.0003147353443694455,0.024421668310283053,0.15171860770411635,0.24565139138047903,230818,798807,0.08070691945751576
2,0.00001590700540621483,0.02662513667604242,0.06463782444245475,0.08402132819414945,235963,922047,0.06686494196303089
3,-0.00016548189814930751,0.02666497471539278,0.022267573343978234,0.03329997489949635,239586,952009,0.03830186526076167
4,-0.0002606871137247636,0.026817207493046,-0.006496702771600795,0.012136924346422988,237471,905585,-0.012305969764461244
5,-0.0004460652260959614,0.026801506002849765,-0.04061797641514021,0.0,231760,816075,-0.04464377214077121
6,-0.0007401848483450094,0.025313353097111968,-0.10132056742199821,-0.11798873636108279,227534,718101,-0.06545165142382339
7,-0.000645150734819621,0.023135585311175023,-0.09705118743909506,-0.08437963590056383,226246,698900,-0.07911526248961129
8,-0.0005287866422227618,0.022945340265292474,-0.08177182307128271,-0.03224315910727095,230596,798247,-0.08018796326648485
9,-0.00047110909586311046,0.02296468874953646,-0.07481475810054024,-0.02579475492658433,235499,920524,-0.06174228080619946
10,-0.00039068216455818115,0.02274052122884439,-0.045981480299508035,0.0,238797,948301,-0.03429806395490774
11,-0.0003024636372947227,0.022377596863188076,-0.009092155120571214,0.025217791896831813,237585,902002,-0.007424283511843129
12,-0.00018439171595286408,0.02197792631140419,0.040169896817363486,0.06807062759878685,231133,810867,0.011514803626931153
13,-0.000140070028157932,0.021652602123786387,0.05259707914404035,0.07909077786922897,226224,713336,0.015750782957886286
14,-0.00023024621361966653,0.02152676068621389,0.019880677593331172,0.05133585065978312,222957,688479,0.009809097858202618
15,-0.000339860394347538,0.02177790294880334,-0.024801583644732367,0.01218397755745075,226450,782568,-0.0029829167859216263
16,-0.0003429717332192963,0.021997741257169946,-0.038800580618989555,0.0,232673,906581,-0.016453191234440438
17,-0.00032605702448314775,0.021985877862865277,-0.023790176403257732,0.014790846255704922,235754,933006,-0.016900654567377705
18,-0.0003110685912465806,0.021787792298191586,-0.014754293098553703,0.019718232628673907,233722,884696,-0.0030284938748625324
19,-0.00022870146232590208,0.021505021777950797,0.01764336092864484,0.0506160775876137,224323,786896,0.016221082730856574
20,-0.00011408440012290588,0.021284571395633674,0.04455921981784349,0.06460964617653166,218053,688124,0.033255144261157804
21,-0.00007310500664878104,0.021303412428114052,0.05744730240960599,0.07497678119820939,214325,661633,0.050202121633823794
22,-0.00005523216196177254,0.021622541770639724,0.06138013124824841,0.08607179758118716,219842,757834,0.06308521203843374
23,-0.000056949184530138524,0.021800109476796867,0.06998059376477625,0.09733198522783405,228539,886801,0.07195970399682798
24,-0.000012147223751815938,0.021784572233746618,0.08205881295169459,0.10397734088516648,234267,920875,0.07714555002048007
25,-0.000022180835962486416,0.021620883276001677,0.08893167960981471,0.1105519240865672,231063,871704,0.07798761017073406
26,-0.000026409066024466643,0.02145523532866675,0.08337653252786636,0.09503394986197222,217793,765444,0.0774978292538214
27,-0.00005891912594677606,0.021300775506594948,0.06559043199951844,0.0838541109687631,210319,665042,0.07347387705651667
28,-0.00006219236487795428,0.021312981994473363,0.06753168918021286,0.09094212061926368,206480,637326,0.07341677638645083
29,-0.00009714551040341283,0.021640009087528864,0.061939051965171014,0.08954117108471105,215346,740087,0.07092683735109695
30,-0.000032639779558085074,0.02185018048765606,0.08864617625948545,0.12660680898259435,226303,873205,0.07270563913495644
