characteristic,value,phase,avg_rvr,median_rvr,std_rvr,n_events
size_quintile,Q1_Small,pre_event,-0.5663776818288561,0.1679978331832061,199.7541450893886,56059
size_quintile,Q1_Small,post_event_rising,15.748210026353958,4.174863759338919,55.20092725613316,56136
size_quintile,Q1_Small,post_event_decay,0.2802957415300713,0.14660407518802007,93.86793370348457,55993
size_quintile,Q2,pre_event,1.3921546128431241,0.8114630754740492,30.164861168694042,55868
size_quintile,Q2,post_event_rising,24.17582791640443,7.810959941757365,58.12460232360031,55972
size_quintile,Q2,post_event_decay,1.4699010997781183,0.48007784260701525,8.676798293210595,55906
size_quintile,Q3,pre_event,2.289078842268003,1.3330384200929624,399.68852550593203,55698
size_quintile,Q3,post_event_rising,25.46417444321092,8.885555943945285,814.67520288625,55805
size_quintile,Q3,post_event_decay,2.9259489559785425,0.6902647338004346,311.0691814987681,55762
size_quintile,Q4,pre_event,2.958907972550835,2.247046974791081,28.51889060615517,55664
size_quintile,Q4,post_event_rising,26.905775671642918,12.030888323000072,54.1371523065478,55747
size_quintile,Q4,post_event_decay,2.265467794616725,1.075773794105101,8.88230946972569,55711
size_quintile,Q5_Large,pre_event,5.244389612847197,3.7163763183132357,31.866595931102715,55638
size_quintile,Q5_Large,post_event_rising,35.85870000924574,18.891102546754066,53.5354146276337,55663
size_quintile,Q5_Large,post_event_decay,3.468773288426618,1.793320266076976,10.541502585278481,55625
size_quintile,Unknown,pre_event,0.9885335542862083,0.5170808046909436,99.91699173876925,3288
size_quintile,Unknown,post_event_rising,42.42593525948416,10.48355725529763,163.73574639776362,3795
size_quintile,Unknown,post_event_decay,0.9224578258961018,0.43136402072443214,71.04325073482295,4137
