days_to_event,avg_annualized_vol,median_annualized_vol,event_count
-60,,,0
-59,,,0
-58,31.703234056293752,21.306139320862425,273
-57,34.986139049102306,23.264574923905236,449
-56,33.82761649552144,23.660852035035216,824
-55,33.50570532132015,24.72210106924345,580
-54,34.58892940540046,27.22681140354118,409
-53,36.08203659829297,24.59553768723099,529
-52,37.58862750257832,25.15614689335392,579
-51,35.809638188130194,24.877529020853554,618
-50,35.60169324556073,25.07479600244038,765
-49,35.20681433047945,25.219734064800207,866
-48,35.72261570671471,25.618358227088052,580
-47,35.48896594376081,26.143639392681386,412
-46,35.960809677364765,24.467653070282424,532
-45,34.75977609824349,25.38285947083188,573
-44,34.960224330735954,24.904755568555878,618
-43,34.181275642715136,24.47489411090474,765
-42,34.615699555093556,24.411226214510407,865
-41,33.844923767786256,25.43561429484258,579
-40,33.859932522083085,25.02454591696329,412
-39,33.879698465474775,23.869602537453364,543
-38,33.91091132715378,24.626427301920707,570
-37,35.44582855871987,25.292401155762178,615
-36,35.35982325282762,24.517406821382707,768
-35,34.739588684422635,25.00357000470133,875
-34,33.68054629919418,24.7554622663363,579
-33,31.856098065328304,24.345323287317417,413
-32,34.93731012270788,25.94029339099492,524
-31,35.350444474269395,25.83980868884288,567
-30,36.27470133233515,25.397440491963806,622
-29,35.06371105579012,24.51777250904116,760
-28,34.68009831437362,24.849074767635713,866
-27,33.868611393578895,24.04512192135084,570
-26,34.138747218104626,24.545360183856275,406
-25,33.58733550904077,24.516939092060838,516
-24,33.90048152447321,23.646215077174624,561
-23,34.82695922935658,23.490153976655492,620
-22,34.21607206902814,23.632773083918867,755
-21,34.26973326735122,23.287454680922092,865
-20,33.62194378806059,23.66548194599045,573
-19,33.34743032061861,22.974830458482177,411
-18,35.19785933520332,23.801368227381666,532
-17,34.451316334136045,24.574127432810318,573
-16,35.31527716262602,24.912889160725392,624
-15,35.43135370510789,24.370300210297003,765
-14,34.439731219073344,24.756804889969082,869
-13,36.654092355459326,24.024006871938344,578
-12,35.92074337129043,23.783157803794225,406
-11,34.323486044397036,23.95754687475327,533
-10,36.37623078384036,24.498337528167095,571
-9,38.88746303584008,25.376825331514677,624
-8,37.73175625112583,24.823104965253666,763
-7,38.23997561439158,25.729238310451397,871
-6,37.32052778883985,26.024445623973556,574
-5,37.75707158356534,27.54099193050243,407
-4,37.91022799044803,24.95468015030808,526
-3,38.58853018595831,25.459467177618173,578
-2,37.49525358001039,25.799422618423094,633
-1,37.92504656556235,26.199511243344368,764
0,40.94078618055622,27.27651848316292,888
1,51.11390158128688,30.618310311499144,574
2,51.75890414556628,29.46173299150491,398
3,48.91078583503644,29.002968422229863,506
4,48.31127277563751,29.154671714537564,562
5,49.075771674644756,28.24981980586778,609
6,49.72736397448645,28.076544444963957,750
7,47.922035991810205,27.001543409886803,861
8,39.79506709167792,25.3369951718195,570
9,37.10084038324955,25.851860588437344,405
10,39.31193125962596,25.864439812018507,526
11,38.16962106307841,25.893871762188027,556
12,37.77381696713786,26.30135724332692,610
13,37.08692457202172,24.487015885031134,760
14,35.86620959212767,25.18492309950991,858
15,34.25672936481973,25.35665553052651,578
16,32.84820794867839,23.63434670042732,407
17,35.00529326335251,24.622791567570076,533
18,35.739227721848415,25.43403983648687,559
19,35.748328139529754,24.129948103656012,608
20,34.47837063947867,24.306527931319188,763
21,34.09516562809378,25.01763666608026,865
22,33.16037430187721,24.81713651846243,575
23,33.416315611576685,25.060314256585592,406
24,33.415030044384366,23.682096343949866,520
25,33.28279107645514,23.92570979812302,569
26,33.30575143422849,23.749491300859003,616
27,32.30092444593282,22.767109839031185,742
28,31.8367293781055,23.18217608222399,866
29,31.92708193001036,24.38573740537699,581
30,32.056518364122354,24.490690423832564,409
31,31.859831281580043,24.796123507032362,509
32,30.487048503220226,23.0200584943653,555
33,31.550947483592434,24.265895783402833,612
34,32.22574314757016,25.28961133125855,748
35,32.16194660613598,24.39509015593099,863
36,31.683626815251504,24.53109045770285,587
37,33.239021197684856,25.64387872292333,415
38,34.092052621098794,24.823104965253677,529
39,34.059001952709714,25.648879167792092,567
40,33.658215746682664,24.84286388920031,614
41,34.22681708961674,24.3536989949046,748
42,34.43059469731726,25.155028796307654,868
43,33.722121410297824,25.551626771687246,584
44,33.57942163277961,25.304019017819687,418
45,35.382601968974946,23.963558445356153,539
46,34.37444809349574,24.598714947619275,562
47,34.702541374146065,25.185139108132798,605
48,34.86398660584407,26.346792285285904,749
49,33.825844454771435,26.001708370412896,865
50,33.71075935936708,25.90071698629204,583
51,33.70729888735031,24.79612398976905,421
52,35.95530984775781,26.344395876239023,545
53,35.772569258127234,25.730296856398226,570
54,34.39830459625502,26.625075217921925,597
55,33.57397373752449,25.700016088090095,742
56,33.91261313074718,25.231709727862047,852
57,33.35049606837885,25.708288588313554,575
58,32.33059897682657,23.693751668741733,407
59,33.76863101324045,25.830402926594537,538
60,34.4152716760168,26.65262368743459,563
