days_to_approval,annualized_vol
-60,0.0
-59,14.849976516610536
-58,26.605348747165046
-57,31.328113590866977
-56,32.32430640945009
-55,32.2270822847275
-54,33.05203009276362
-53,33.856512442783455
-52,36.44959773806158
-51,34.79025096203669
-50,33.944656489266706
-49,33.67447097401626
-48,34.67418569303516
-47,33.63078414161193
-46,32.90312445843179
-45,33.16425775042445
-44,33.20016856376198
-43,32.02326842471856
-42,33.06348145235688
-41,32.45222928415705
-40,33.1146826857428
-39,32.16276882027967
-38,33.28914879075181
-37,34.228692266872706
-36,33.69599726291316
-35,33.60293457018735
-34,32.92464143374389
-33,30.586925276357768
-32,33.4323900969232
-31,34.6847789674489
-30,34.16182166692202
-29,38.321586002800245
-28,38.11358571796578
-27,32.28212987984357
-26,31.85690713795341
-25,40.217354137671585
-24,39.954372632068896
-23,39.20760803611859
-22,31.893070772780487
-21,32.24432890385796
-20,30.09196809808092
-19,31.097809576360415
-18,34.3048947860643
-17,33.99706353730003
-16,33.7514893049157
-15,34.18218431770904
-14,34.16179229233582
-13,36.78824584370054
-12,34.31616190287763
-11,32.43619105295971
-10,35.827160623464934
-9,37.38976452462778
-8,35.69532949389001
-7,35.87465340995095
-6,33.68777719038543
-5,34.56055255820453
-4,34.840954411270864
-3,36.70648123502263
-2,35.91660917976522
-1,35.671536509769176
0,37.692668463170364
1,45.51950816344758
2,45.19063429250979
3,48.03739228521814
4,46.87527634265189
5,41.09754504107276
6,45.47901774200145
7,45.14309608894083
8,36.18091268692404
9,34.30903195281158
10,36.35698544465886
11,34.786728425769184
12,34.50581770951083
13,33.85885792121427
14,33.05052229763327
15,32.19663645672113
16,30.473026130621154
17,33.22036918840388
18,34.65086444548933
19,33.430906735398395
20,32.72268418749059
21,32.31927268755027
22,31.20453751739179
23,31.971826162981948
24,32.701457461261974
25,32.87853640963567
26,32.06355757922501
27,30.787336307576762
28,30.646830333633613
29,32.78523456933934
30,32.57421184248665
31,31.414827838085003
32,31.165606565374137
33,31.347884835416092
34,30.487737460046187
35,30.12043127440362
36,30.337331833279677
37,32.03173562841715
38,31.576637050058455
39,32.60938897459894
40,31.76951162111657
41,35.1753214988964
42,34.48809153649587
43,33.126958243445316
44,34.93044105237848
45,37.49332593860528
46,38.195638480470606
47,36.81879744770524
48,33.293072494159254
49,33.11441188457021
50,32.52905548490116
51,32.89604958520374
52,33.992267552586405
53,34.503577508767165
54,33.47402773425082
55,32.520826464103855
56,32.242849229254176
57,31.43434545606916
58,30.737529040012042
59,32.03712624500016
60,34.03100436112739
